#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         571    -5.32996    -5.56335   0.0155187
         572    -5.33563    -5.56295   0.0154966
         573    -5.34122    -5.56256   0.0154744
         574    -5.34625    -5.56219    0.015452
         575    -5.35162    -5.56182   0.0154295
         576    -5.35687    -5.56146   0.0154068
         577     -5.3626    -5.56112    0.015384
         578    -5.36834    -5.56079    0.015361
         579    -5.37396    -5.56046   0.0153378
         580    -5.37959    -5.56015   0.0153146
         581    -5.38553    -5.55985   0.0152912
         582    -5.39088    -5.55956   0.0152676
         583    -5.39639    -5.55928    0.015244
         584    -5.40192    -5.55901   0.0152203
         585    -5.40747    -5.55875   0.0151965
         586    -5.41334     -5.5585   0.0151726
         587    -5.41938    -5.55827   0.0151486
         588    -5.42529    -5.55804   0.0151245
         589    -5.43122    -5.55783   0.0151004
         590    -5.43717    -5.55762   0.0150761
         591    -5.44299    -5.55743   0.0150519
         592    -5.44882    -5.55724   0.0150276
         593     -5.4545    -5.55707   0.0150032
         594    -5.46017    -5.55691   0.0149789
         595    -5.46552    -5.55675   0.0149545
         596    -5.47128    -5.55661   0.0149301
         597    -5.47699    -5.55648   0.0149057
         598    -5.48262    -5.55635   0.0148812
         599    -5.48771    -5.55624   0.0148568
         600    -5.49314    -5.55613   0.0148325
         601    -5.49858    -5.55604   0.0148081
         602    -5.50371    -5.55595   0.0147837
         603    -5.50851    -5.55587   0.0147594
         604    -5.51342     -5.5558   0.0147352
         605    -5.51797    -5.55574   0.0147109
         606    -5.52168    -5.55568   0.0146868
         607    -5.52576    -5.55563   0.0146627
         608    -5.52928    -5.55559   0.0146386
         609    -5.53238    -5.55555   0.0146146
         610    -5.53551    -5.55552   0.0145907
         611    -5.53853    -5.55549   0.0145668
         612    -5.54111    -5.55547   0.0145431
         613    -5.54298    -5.55545   0.0145193
         614    -5.54458    -5.55543   0.0144957
         615    -5.54667    -5.55542   0.0144721
         616    -5.54837     -5.5554   0.0144487
         617    -5.54893    -5.55539   0.0144252
         618    -5.55033    -5.55539   0.0144019
         619    -5.55152    -5.55538   0.0143786
         620    -5.55208    -5.55537   0.0143555
         621    -5.55262    -5.55537   0.0143323
         622    -5.55347    -5.55537   0.0143093
         623    -5.55388    -5.55536   0.0142863
         624    -5.55433    -5.55536   0.0142634
         625    -5.55484    -5.55536   0.0142406
         626    -5.55467    -5.55536   0.0142179
         627    -5.55443    -5.55536   0.0141952
         628    -5.55414    -5.55536   0.0141726
         629    -5.55366    -5.55535     0.01415
         630     -5.5533    -5.55535   0.0141276
         631    -5.55323    -5.55535   0.0141052
         632    -5.55299    -5.55534   0.0140829
         633     -5.5529    -5.55534   0.0140606
         634    -5.55324    -5.55534   0.0140385
         635    -5.55342    -5.55533   0.0140164
         636    -5.55299    -5.55533   0.0139943
         637    -5.55284    -5.55533   0.0139723
         638    -5.55177    -5.55532   0.0139504
         639    -5.55128    -5.55531   0.0139286
         640    -5.55092    -5.55531   0.0139069
         641    -5.55068     -5.5553   0.0138852
         642    -5.55056    -5.55529   0.0138635
         643    -5.55012    -5.55529    0.013842
         644    -5.54933    -5.55528   0.0138205
         645    -5.54867    -5.55527   0.0137991
         646    -5.54814    -5.55525   0.0137777
         647    -5.54773    -5.55524   0.0137564
         648      -5.547    -5.55523   0.0137352
         649    -5.54642    -5.55522    0.013714
         650    -5.54644     -5.5552   0.0136929
         651    -5.54556    -5.55519   0.0136719
         652    -5.54471    -5.55517    0.013651
         653    -5.54464    -5.55516   0.0136301
         654    -5.54415    -5.55514   0.0136092
         655    -5.54341    -5.55512   0.0135885
         656    -5.54303     -5.5551   0.0135678
         657    -5.54241    -5.55508   0.0135471
         658    -5.54171    -5.55506   0.0135266
         659    -5.54153    -5.55504    0.013506
