# VELOCITY:     AVE_POFV:        ERROR:
       0.225   0.0189537  0.00415131
       0.375   0.0538889  0.00684715
       0.525    0.118188   0.0124581
       0.675    0.171343   0.0118181
       0.825    0.216978   0.0178278
       0.975    0.304858   0.0224188
       1.125    0.385648    0.023047
       1.275    0.464796   0.0255441
       1.425    0.527358   0.0260969
       1.575    0.504494   0.0262516
       1.725    0.520105   0.0199175
       1.875    0.445806   0.0197548
       2.025    0.417148   0.0199652
       2.175    0.345667   0.0148262
       2.325    0.337565   0.0119309
       2.475    0.336651   0.0370553
       2.625    0.311015   0.0310307
       2.775    0.284404   0.0193931
       2.925    0.212725   0.0169669
       3.075    0.198583   0.0135447
       3.225    0.115469   0.0117878
       3.375    0.119602    0.013935
       3.525   0.0804352   0.0114594
       3.675   0.0662469  0.00725726
       3.825   0.0474105  0.00562415
       3.975   0.0246852  0.00460049
       4.125   0.0174969  0.00546011
       4.275  0.00767593  0.00274252
       4.425   0.0048858  0.00202801
       4.575  0.00245062  0.00131276
       4.725  0.00115432 0.000858636
       4.875 0.000654321 0.000502402
       5.025 0.000283951 0.000191726
       5.175 0.000222222 0.000172751
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00200176 0.000922599
       0.225   0.0188801  0.00395428
       0.375   0.0567372  0.00708882
       0.525    0.121508   0.0122992
       0.675    0.174715   0.0117266
       0.825    0.214891   0.0171006
       0.975    0.308618   0.0216643
       1.125    0.383092   0.0220908
       1.275    0.456852   0.0255333
       1.425    0.530826   0.0250836
       1.575    0.497584    0.025895
       1.725    0.524506   0.0194492
       1.875    0.450864    0.019451
       2.025    0.419594   0.0191638
       2.175    0.344935   0.0141382
       2.325    0.350588    0.017048
       2.475    0.339524   0.0354019
       2.625    0.309365   0.0295969
       2.775    0.279509   0.0190775
       2.925    0.206108   0.0174015
       3.075    0.197354   0.0129553
       3.225    0.114691   0.0112521
       3.375    0.116834   0.0135435
       3.525   0.0781775   0.0111339
       3.675   0.0660435  0.00691453
       3.825     0.04597  0.00553773
       3.975   0.0237302  0.00447945
       4.125   0.0166637  0.00526329
       4.275  0.00731041  0.00263617
       4.425  0.00465315  0.00194474
       4.575  0.00233392  0.00125542
       4.725  0.00109935 0.000819506
       4.875 0.000623163 0.000479444
       5.025 0.000270429 0.000183072
       5.175  0.00021164 0.000164849
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00213244 0.000889868
       0.225   0.0198569  0.00389333
       0.375   0.0571072  0.00677624
       0.525    0.121448   0.0117403
       0.675    0.174419   0.0111973
       0.825    0.214896   0.0163233
       0.975    0.309882   0.0207164
       1.125    0.380735    0.021212
